N,PI_1,PI_2
0,3.0,1.299038105676658,2.6666666666666665
1,4.0,2.0,3.0
2,5.0,2.3776412907378837,3.2
3,6.0,2.598076211353316,3.3333333333333335
4,7.0,2.7364101886381045,3.4285714285714284
5,8.0,2.8284271247461903,3.5
6,9.0,2.892544243589427,3.5555555555555554
7,10.0,2.938926261462366,3.6
8,11.0,2.9735244960057865,3.6363636363636362
9,12.0,2.9999999999999996,3.6666666666666665
10,13.0,3.0207006182844958,3.6923076923076925
11,14.0,3.037186173822907,3.7142857142857144
12,15.0,3.0505248230685016,3.7333333333333334
13,16.0,3.0614674589207183,3.75
14,17.0,3.0705541625908,3.764705882352941
15,18.0,3.0781812899310186,3.5555555555555554
16,19.0,3.084644957444493,3.3684210526315788
17,20.0,3.090169943749474,3.4
18,21.0,3.094929331314494,3.238095238095238
19,22.0,3.0990581252557265,3.272727272727273
20,23.0,3.1026628683057793,3.3043478260869565
21,24.0,3.105828541230249,3.3333333333333335
22,25.0,3.108623589560685,3.36
23,26.0,3.111103635738251,3.3846153846153846
24,27.0,3.1133142550229422,3.4074074074074074
25,28.0,3.1152930753884016,3.4285714285714284
26,29.0,3.117071383059849,3.310344827586207
27,30.0,3.1186753622663903,3.2
28,31.0,3.120127061374231,3.225806451612903
29,32.0,3.121445152258052,3.25
30,33.0,3.122645531946768,3.272727272727273
31,34.0,3.1237418028816957,3.2941176470588234
32,35.0,3.124745658976142,3.3142857142857145
33,36.0,3.125667198004746,3.3333333333333335
34,37.0,3.126515175954208,3.3513513513513513
35,38.0,3.127297215333944,3.3684210526315788
36,39.0,3.1280199767263244,3.282051282051282
37,40.0,3.1286893008046173,3.2
38,41.0,3.129310326486927,3.2195121951219514
39,42.0,3.1298875896996634,3.238095238095238
40,43.0,3.1304251063026047,3.255813953488372
41,44.0,3.130926442012273,3.272727272727273
42,45.0,3.1313947716014723,3.2888888888888888
43,46.0,3.1318329292136715,3.3043478260869565
44,47.0,3.132243451283802,3.3191489361702127
45,48.0,3.1326286132812378,3.3333333333333335
46,49.0,3.132990461270397,3.3469387755102042
47,50.0,3.1333308391076065,3.36
48,51.0,3.13365141195021,3.372549019607843
49,52.0,3.1339536866383995,3.3846153846153846
50,53.0,3.134239029416194,3.3962264150943398
51,54.0,3.134508681381216,3.4074074074074074
52,55.0,3.134763771989867,3.418181818181818
53,56.0,3.13500533089262,3.4285714285714284
54,57.0,3.1352342983312598,3.43859649122807
55,58.0,3.1354515342943112,3.4482758620689653
56,59.0,3.1356578265972797,3.457627118644068
57,60.0,3.135853898029604,3.4
58,61.0,3.1360404126894927,3.4098360655737703
59,62.0,3.136217981610397,3.3548387096774195
60,63.0,3.1363871677682247,3.365079365079365
61,64.0,3.1365484905459393,3.375
62,65.0,3.136702429721741,3.3846153846153846
63,66.0,3.1368494290380275,3.393939393939394
64,67.0,3.136989899400751,3.4029850746268657
65,68.0,3.1371242217522677,3.411764705882353
66,69.0,3.1372527496552194,3.420289855072464
67,70.0,3.137375811620173,3.4285714285714284
